,id,release_date,movie,tconst,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,year,month,production_budget_2,domestic_gross_2,worldwide_gross_2,genres2,profit_multiple
2704,44,2013-04-05,The Brass Teapot,tt1935902,The Brass Teapot,The Brass Teapot,2012,101.0,"Comedy,Fantasy,Thriller",6.4,13746,2013,4,900000,6997,413733,"['Comedy', 'Fantasy', 'Thriller']",-0.5402966666666666
2705,47,1942-08-13,Bambi,tt2668120,Bambi,Bambi,2013,58.0,"Biography,Documentary",7.0,101,1942,8,858000,102797000,268000000,"['Biography', 'Documentary']",311.35431235431236
2706,50,2008-03-21,The Hammer,tt1094666,The Hammer,Hamill,2010,108.0,"Biography,Drama,Sport",7.0,1613,2008,3,850000,442638,442638,"['Biography', 'Drama', 'Sport']",-0.4792494117647058
2707,50,2008-03-21,The Hammer,tt3096900,The Hammer,The Hammer,2015,75.0,"Action,Adventure,Documentary",6.5,13,2008,3,850000,442638,442638,"['Action', 'Adventure', 'Documentary']",-0.4792494117647058
2708,51,2015-08-28,Windsor Drive,tt2311428,Windsor Drive,Windsor Drive,2015,90.0,"Mystery,Thriller",3.2,193,2015,8,850000,3256,3256,"['Mystery', 'Thriller']",-0.996169411764706
2709,52,2012-12-31,Snitch,tt0882977,Snitch,Snitch,2013,112.0,"Action,Drama,Thriller",6.5,78142,2012,12,850000,0,0,"['Action', 'Drama', 'Thriller']",-1.0
2710,69,2014-09-19,Not Cool,tt3569356,Not Cool,Not Cool,2014,93.0,"Comedy,Drama,Romance",4.5,5089,2014,9,800000,35688,35688,"['Comedy', 'Drama', 'Romance']",-0.95539
2711,70,2012-02-03,Kill List,tt1788391,Kill List,Kill List,2011,95.0,"Crime,Drama,Horror",6.4,32807,2012,2,800000,29063,462206,"['Crime', 'Drama', 'Horror']",-0.4222425
2712,71,2015-01-09,Vessel,tt2272998,Vessel,Vessel,2013,,Sci-Fi,6.4,23,2015,1,800000,0,0,['Sci-Fi'],-1.0
2713,71,2015-01-09,Vessel,tt3311588,Vessel,Vessel,2014,90.0,"Adventure,Biography,Documentary",7.5,194,2015,1,800000,0,0,"['Adventure', 'Biography', 'Documentary']",-1.0
